date,title,author,tags,url
2014-10-12,10 bodů pro novou Radu,"Jakub Michálek, Ondřej Profant, Mikuláš Ferjenčík, Adam Zábranský",rhmp,https://praha.pirati.cz/10-klicovych-bodu.html
2014-11-05,Opozici se věnujeme naplno,Mikuláš Ferjenčík,zhmp,https://praha.pirati.cz/zastupitele-piratu-pracuji-naplno.html
2014-11-27,Přehled Pirátů ve výborech,Jan Loužek,výbory,https://praha.pirati.cz/prehled-piratu-ve-vyborech.html
2014-12-02,Zastupitelský Piratecon,Jan Loužek,akce piráti,https://praha.pirati.cz/zastupitelsky-piratecon.html
2014-12-05,Vendor lock-in pokračuje,Ondřej Profant,projev,https://praha.pirati.cz/zasedala-rada.html
2015-01-12,Výročí smrti Aarona Schwarze,Jan Loužek,akce,https://praha.pirati.cz/aaron.html
2015-01-22,Koalice schválila superzakázku na odpad,Jakub Michálek,zhmp,https://praha.pirati.cz/treti-zasedani.html
2015-01-23,Nechceme velký odpadový tendr,Ondřej Profant,zhmp projev,https://praha.pirati.cz/ondra.html
2015-01-25,Konference o dopravních kartách za účasti piráta,Ondřej Profant,doprava,https://praha.pirati.cz/londyn.html
2015-01-31,Papírové kupóny jsou důležitý doplněk Opencard,Jakub Michálek,zhmp opencard doprava,https://praha.pirati.cz/papirove-kupony.html
2015-02-19,"Piráti radí, jak na magistrát bez megaztrát",Jakub Michálek,magistrát,https://praha.pirati.cz/jak-na-magistrat-bez-megastrat.html
2015-03-27,Strany v pražském zastupitelstvu odmítly zveřejňovat příjmy svých politiků,Jakub Michálek,informace piráti,https://praha.pirati.cz/pirati-zverejnili-prijmy.html
2015-04-05,Piráti jako jediná strana zveřejnili komplet své příjmy,Jakub Michálek,informace piráti,https://praha.pirati.cz/transparentni-nahrady.html
2015-04-21,Praha kupuje zbytečně drahé počítače,"Ondřej Profant, Adam Zábranský",IT magistrát,https://praha.pirati.cz/drahe-pocitace.html
2015-05-20,Piráti na hackathonu Prague Hacks,"Jan Loužek, Ondřej Profant",Praha open-data,https://praha.pirati.cz/open-data.html
2015-06-06,Shrnutí květnového zasedání zastupitelstva,Adam Zábranský,zhmp,https://praha.pirati.cz/sedme-zasedani.html
2015-06-26,Exkurze výboru v Dráždanech,Ondřej Profant,doprava,https://praha.pirati.cz/dresden.html
2015-07-01,"Chceme dokopat ostatní zastupitele, aby zveřejňovali majetek na webu",Jakub Michálek,majetková-přiznání informace,https://praha.pirati.cz/majetkova-priznani.html
2015-08-27,Doporučení Pirátů Radě hl. m. Prahy pro oblast ICT,Ondřej Profant,informatika zhmp,https://praha.pirati.cz/otevreny-dopis-rade-it.html
2015-09-17,Rada Prahy schválila kvalitní teze digitální strategie,"Ondřej Profant, Adam Zábranský",informatika zhmp,https://praha.pirati.cz/rada-digitalni-strategie.html
2015-09-22,Koalice v Praze jede opět ve starých kolejích,Adam Zábranský,zhmp koalice,https://praha.pirati.cz/zarijove-zasedani.html
2015-09-22,Praha zbytečně utrácí 17 milionů za produkty Microsoftu.,Ondřej Profant,magistrát,https://praha.pirati.cz/microsoft-na-magosi.html
2015-10-07,Staňte se pirátským koordinátorem dobrovolníků!,Mikuláš Ferjenčík,výběrová-řízení piráti,https://praha.pirati.cz/koordinator-dobrovolniku.html
2015-10-29,Vyjednávání dohody TTIP,Ondřej Profant,EU TTIP,https://praha.pirati.cz/ttip.html
2015-11-03,Tento víkend nabídne Brno ochutnávku svobodné kultury,Jan Loužek,akce,https://praha.pirati.cz/navstivte-openalt.html
2015-11-12,Ondřej Profant na brněnském OpenAltu,"Jan Loužek, Ondřej Profant",akce,https://praha.pirati.cz/ondra-openalt.html
2015-12-07,Pražští Piráti vyzvali TOP09 k jednání o koalici proti Březinovi a Kleslové,"Jakub Michálek, Ondřej Profant",územní-plán koalice piráti,https://praha.pirati.cz/jednani-o-koalici.html
2016-01-28,Omezení buskingu a podržení podvodníka,Jakub Michálek,zhmp busking brezina libensky-most trafiky informatika,https://praha.pirati.cz/zasedani-leden.html
2016-02-04,Piráti nesouhlasí s demolicí Libeňského mostu,"Ondřej Profant, Jan Loužek",praha-7 praha-8 majetek doprava libensky-most,https://praha.pirati.cz/libensky-most.html
2016-02-08,Nechceme Velkého bratra v Praze,"Ondřej Profant, Adam Zábranský",Praha kamery vendor-lock,https://praha.pirati.cz/kamerovy-syste.html
2016-02-14,Otevřený dopis redakci White Media,"Mikuláš Ferjenčík, Ondřej Profant, Jakub Michálek, Adam Zábranský",otevřené-dopisy,https://praha.pirati.cz/dopis-white-media.html
2016-02-25,ANO a ČSSD v Praze nechtějí zveřejňovat faktury,Adam Zábranský,magistrát,https://praha.pirati.cz/poskytovani-faktur.html
2016-02-25,Zastupitelé schválili opravu Libeňského mostu,Jakub Michálek,zhmp doprava,https://praha.pirati.cz/zastupitelstvo-unor-2016.html
2016-03-02,Lítačka je krok správným směrem,"Mikuláš Ferjenčík, Ondřej Profant",opencard lítačka,https://praha.pirati.cz/clanek-litacka.html
2016-03-07,"Paní ministryně, zveřejněte data k výsledkům z maturitních testů",Adam Zábranský,informace,https://praha.pirati.cz/zverejnujte-vysledky-maturit.html
2016-03-15,Připojujeme se k výzvě „Nechte kliniku dýchat“,"Jakub Michálek, Ondřej Profant, Mikuláš Ferjenčík, Adam Zábranský",klinika praha-3 Praha,https://praha.pirati.cz/vyzva-klinika.html
2016-03-16,"Piráti chtějí dohlédnout na „vyvedenou“ informatiku, nominují Ondřeje Profanta","Jan Loužek, Ondřej Profant, Jakub Michálek",Praha informatika open-data,https://praha.pirati.cz/nominace-ondry-do-oict.html
2016-03-23,ANO vytáhlo z kuchyňky 20 miliónů na účetní systém,Ondřej Profant,magistrát,https://praha.pirati.cz/dvacet-milionu-pro-gordic.html
2016-03-28,Akce aktivistů proti podlézání Číně se zúčastnila i Pirátka Michaela Krausová,Ondřej Profant,Praha akce,https://praha.pirati.cz/cina.html
2016-04-15,Magistrát potvrdil: Pražské stavební předpisy napsali úředníci bez kvalifikace,Ondřej Profant,Praha stavební-předpisy,https://praha.pirati.cz/stavebni-predpisy-psali-urednici.html
2016-04-29,"Březina bude předsedou výboru pro majetek, ANO se zajistilo.","Mikuláš Ferjenčík, Ondřej Profant, Jan Loužek",Praha zhmp Karel-Březina,https://praha.pirati.cz/ano-se-zajistilo.html
2016-05-05,Piráti zveřejnili připravovaný územní plán Prahy a žádají město: zveřejňujte ho průběžně sami!,Mikuláš Ferjenčík,územní-plán,https://praha.pirati.cz/metropolitni-plan.html
2016-05-09,Opět rozdáváme 80 000 Pirátských listů!,Jan Loužek,piráti,https://praha.pirati.cz/piratske-listy-podruhe.html
2016-05-19,Chybějící údržba Libeňského mostu způsobila rozsáhlé škody.,Ondřej Profant,Praha doprava,https://praha.pirati.cz/tk-libensky-most.html
2016-05-29,Koaliční buldozer smetl všechny návrhy opozice. Zasedání trvalo jen čtyři hodiny.,"Jan Loužek, Ondřej Profant",Praha zhmp klinika městské-firmy,https://praha.pirati.cz/17-zhmp-souhrn.html
2016-06-18,Zastupitelstvo 16. 6. nepřineslo změnu,"Ondřej Profant, Jakub Michálek",Praha zhmp,https://praha.pirati.cz/zastupitelstvo-16-6.html
2016-09-13,"Piráti zjistili, že radiový systém Prahy za 680 milionů dokáže odposlouchávat i laik.",Mikuláš Ferjenčík,Praha,https://praha.pirati.cz/odposlouchavani.html
2016-09-16,"Koalice: Trafiky neřešíme, Béma nežalujeme, peníze neinvestujeme.","Jan Loužek, Mikuláš Ferjenčík",Praha,https://praha.pirati.cz/trafiky-neresime-sabatku-zastavime.html
2016-10-20,Slezákovi územní rozvoj nechat nechceme,Mikuláš Ferjenčík,Praha,https://praha.pirati.cz/slezak-ur.html
2016-10-27,Vláda dnes chtěla podepsat smlouvu CETA. Informace o dopadech na české hospodářství nemá.,Petr Dvořáková,CETA,https://pirati.cz/tiskove-zpravy/ceta.html
2016-11-22,Piráti vyhlásili výběrové řízení na krajské koordinátory,Petra Dvořáková,stanovisko,https://pirati.cz/tiskove-zpravy/krajsti-koordinatori.html
2016-11-22,Piráti: Praha rezignovala na boj se závislostí na dodavateli účetnictví,Mikuláš Ferjenčík,Praha,https://praha.pirati.cz/praha-rezignovala-na-boj-se-zavislosti-na-dodavateli-ucetnictvi.html
2016-11-25,ANO a ČSSD hodily nájemníky písnického sídliště přes palubu,"Jakub Michálek, Ondřej Profant, Mikuláš Ferjenčík",Praha,https://praha.pirati.cz/pisnicti-pres-palubu.html
